Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
12,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Liverpool,29-331,1991,11.8,0.25,0.00,0.00,2.63,1.02,0.00,0.25,1.27,1.86,0.00,0.08,0.00,13.1,1.44,1.19,54.8,Matches
13,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,32-006,1989,16.9,0.12,0.00,0.00,0.83,0.12,0.00,0.06,0.18,0.77,0.00,0.00,0.06,8.40,2.37,1.78,57.1,Matches
14,Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,is ISL,GK,Arsenal,26-018,1995,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.0,0.00,0.00,,Matches
15,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,22-152,1998,23.7,0.04,0.00,0.00,0.59,0.34,0.08,5.49,0.76,1.18,0.00,0.04,0.00,11.1,0.17,0.80,17.4,Matches
16,Ezgjan Alioski\Ezgjan-Alioski,mk MKD,DFMF,Leeds United,29-024,1992,16.5,0.18,0.00,0.00,1.45,1.39,0.24,2.18,0.91,1.39,0.00,0.06,0.00,9.33,1.58,1.94,44.8,Matches
17,Alisson\Alisson,br BRA,GK,Liverpool,28-157,1992,23.0,0.04,0.00,0.00,0.04,0.04,0.00,0.00,0.00,0.00,0.00,0.04,0.00,5.43,0.00,0.04,0.0,Matches
18,Allan\Allan,br BRA,MF,Everton,30-059,1991,12.8,0.31,0.00,0.00,1.64,1.41,0.00,0.16,0.78,1.95,0.00,0.00,0.00,10.6,0.00,0.55,0.0,Matches
19,Dele Alli\Dele-Alli,eng ENG,MF,Tottenham,24-331,1996,2.3,0.00,0.00,0.00,1.30,2.17,0.00,1.74,1.30,1.30,0.00,0.00,0.00,15.2,2.17,3.04,41.7,Matches
20,Miguel Almirón\Miguel-Almiron,py PAR,MFFW,Newcastle Utd,27-026,1994,17.6,0.06,0.00,0.00,0.68,1.42,0.28,1.42,1.02,1.31,0.00,0.00,0.00,7.22,0.34,0.74,31.6,Matches
21,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,30-070,1990,6.8,0.29,0.00,0.00,1.03,1.03,0.15,0.74,0.59,0.74,0.00,0.00,0.00,9.71,2.65,1.47,64.3,Matches
22,Steven Alzate\Steven-Alzate,co COL,MFDF,Brighton,22-181,1998,8.2,0.24,0.00,0.00,2.32,0.73,0.12,0.24,0.61,1.59,0.00,0.00,0.00,6.83,0.73,1.34,35.3,Matches
23,Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,26-077,1994,6.5,0.15,0.00,0.00,0.31,0.15,0.00,0.00,0.92,0.77,0.00,0.00,0.00,12.9,2.92,2.31,55.9,Matches
24,Ethan Ampadu\Ethan-Ampadu,wal WAL,DFMF,Sheffield Utd,20-175,2000,19.8,0.10,0.00,0.00,1.01,1.16,0.05,0.45,1.57,1.62,0.00,0.05,0.00,10.3,3.23,1.26,71.9,Matches
25,Joachim Andersen\Joachim-Andersen,dk DEN,DF,Fulham,24-281,1996,21.7,0.18,0.05,0.00,1.20,0.51,0.00,0.14,1.52,0.69,0.00,0.05,0.00,11.1,4.19,1.38,75.2,Matches
26,Elliot Anderson\Elliot-Anderson,sco SCO,MF,Newcastle Utd,18-122,2002,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
27,Felipe Anderson\Felipe-Anderson,br BRA,FWMF,West Ham,27-327,1993,0.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,,Matches
28,Michail Antonio\Michail-Antonio,eng ENG,FW,West Ham,30-345,1990,13.8,0.14,0.00,0.00,1.16,1.96,0.87,1.23,0.51,0.29,0.00,0.00,0.00,3.48,2.83,5.22,35.1,Matches
29,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Fulham,28-009,1993,27.0,0.00,0.00,0.00,0.00,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.04,0.00,0.00,,Matches
30,Stuart Armstrong\Stuart-Armstrong,sco SCO,MF,Southampton,28-343,1992,20.2,0.15,0.00,0.00,1.39,0.99,0.15,0.84,1.09,1.63,0.00,0.00,0.00,8.27,0.30,0.74,28.6,Matches
31,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,26-156,1994,4.0,0.00,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.50,0.00,0.00,,Matches
32,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,31-263,1989,20.6,0.10,0.00,0.00,0.63,0.73,0.68,2.04,0.19,0.15,0.00,0.00,0.05,3.50,1.17,2.38,32.9,Matches
33,Serge Aurier\Serge-Aurier,ci CIV,DF,Tottenham,28-074,1992,12.8,0.00,0.00,0.00,1.48,0.86,0.00,1.56,1.41,2.03,0.00,0.08,0.00,7.34,2.19,1.95,52.8,Matches
34,Charlie Austin\Charlie-Austin,eng ENG,FW,West Brom,31-246,1989,1.5,0.00,0.00,0.00,0.00,1.33,0.67,0.67,1.33,2.00,0.00,0.00,0.00,4.00,4.67,8.67,35.0,Matches
35,Jordan Ayew\Jordan-Ayew,gh GHA,FWMF,Crystal Palace,29-178,1991,17.6,0.11,0.00,0.00,1.82,2.78,0.28,0.85,1.02,1.42,0.00,0.00,0.00,5.51,1.25,5.51,18.5,Matches
36,Luke Ayling\Luke-Ayling,eng ENG,DF,Leeds United,29-195,1991,25.8,0.19,0.00,0.00,0.62,1.40,0.04,1.74,1.09,1.59,0.00,0.00,0.00,12.3,2.13,1.63,56.7,Matches
37,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,31-192,1989,15.6,0.26,0.00,0.00,1.41,0.45,0.19,1.03,1.15,1.03,0.00,0.00,0.00,10.9,2.69,2.50,51.9,Matches
38,Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,26-330,1994,7.1,0.28,0.00,0.00,1.13,0.56,0.00,0.00,2.25,0.70,0.00,0.00,0.00,11.1,2.39,1.55,60.7,Matches
39,Fabián Balbuena\Fabian-Balbuena,py PAR,DF,West Ham,29-197,1991,12.0,0.08,0.00,0.00,0.92,0.17,0.00,0.00,1.00,1.08,0.00,0.00,0.00,8.58,1.92,1.17,62.2,Matches
40,George Baldock\George-Baldock,eng ENG,DF,Sheffield Utd,27-364,1993,22.5,0.18,0.00,0.00,1.64,0.80,0.22,1.73,0.98,0.80,0.00,0.00,0.00,6.98,0.71,1.29,35.6,Matches
41,Gareth Bale\Gareth-Bale,wal WAL,FW,Tottenham,31-235,1989,5.6,0.18,0.00,0.00,1.43,1.25,0.36,1.96,0.71,0.89,0.00,0.00,0.00,7.14,2.50,1.25,66.7,Matches
42,Patrick Bamford\Patrick-Bamford,eng ENG,FW,Leeds United,27-184,1993,24.8,0.04,0.00,0.00,1.05,0.73,0.52,0.16,0.36,0.52,0.12,0.00,0.00,2.54,1.53,2.38,39.2,Matches
43,Phil Bardsley\Phil-Bardsley,sco SCO,DF,Burnley,35-253,1985,3.0,0.67,0.00,0.00,2.67,1.33,0.00,2.33,1.00,1.33,0.00,0.00,0.00,13.0,1.67,1.67,50.0,Matches
44,Ross Barkley\Ross-Barkley,eng ENG,MF,Aston Villa,27-093,1993,12.4,0.00,0.00,0.00,0.73,0.89,0.24,1.05,0.32,0.00,0.00,0.00,0.00,7.98,1.45,1.69,46.2,Matches
45,Ross Barkley\Ross-Barkley,eng ENG,MF,Chelsea,27-093,1993,0.5,0.00,0.00,0.00,4.00,4.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,16.0,6.00,2.00,75.0,Matches
46,Ashley Barnes\Ashley-Barnes,eng ENG,FW,Burnley,31-129,1989,14.4,0.28,0.00,0.00,2.92,3.33,1.18,0.42,0.28,0.42,0.07,0.00,0.00,4.72,3.61,6.25,36.6,Matches
47,Harvey Barnes\Harvey-Barnes,eng ENG,FWMF,Leicester City,23-089,1997,21.6,0.00,0.00,0.00,0.74,1.53,0.05,0.83,0.74,0.65,0.00,0.00,0.00,6.25,1.02,1.48,40.7,Matches
48,Kyle Bartley\Kyle-Bartley,eng ENG,DF,West Brom,29-290,1991,18.8,0.16,0.00,0.00,1.01,0.27,0.16,0.16,0.96,0.64,0.00,0.05,0.00,10.1,3.94,1.54,71.8,Matches
49,Chris Basham\Chris-Basham,eng ENG,DFMF,Sheffield Utd,32-231,1988,22.6,0.13,0.00,0.00,0.93,0.84,0.22,0.97,1.42,1.86,0.04,0.04,0.00,11.0,2.83,2.12,57.1,Matches
50,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Crystal Palace,27-157,1993,7.8,0.00,0.00,0.00,1.28,0.64,1.41,0.90,0.26,0.38,0.13,0.00,0.00,3.97,0.90,3.08,22.6,Matches
51,Jan Bednarek\Jan-Bednarek,pl POL,DF,Southampton,24-330,1996,25.9,0.12,0.04,0.00,0.73,0.42,0.00,0.00,1.97,0.69,0.00,0.00,0.04,13.2,3.05,1.35,69.3,Matches
52,Donny van de Beek\Donny-van-de-Beek,nl NED,MFFW,Manchester Utd,23-324,1997,3.6,0.28,0.00,0.00,0.83,0.56,0.00,1.11,0.83,2.22,0.00,0.00,0.00,5.83,0.28,1.11,20.0,Matches
53,Héctor Bellerín\Hector-Bellerin,es ESP,DF,Arsenal,25-354,1995,21.2,0.38,0.00,0.00,0.99,0.33,0.05,2.31,0.52,0.75,0.05,0.00,0.00,9.25,1.46,1.51,49.2,Matches
54,Saïd Benrahma\Said-Benrahma,dz ALG,MFFW,West Ham,25-210,1995,9.8,0.00,0.00,0.00,1.22,0.82,0.10,1.84,0.92,1.43,0.00,0.10,0.00,8.37,0.31,1.02,23.1,Matches
55,Josh Benson\Josh-Benson,eng ENG,MF,Burnley,21-093,1999,2.9,0.00,0.00,0.00,1.38,0.34,0.00,1.38,0.34,1.72,0.00,0.34,0.00,8.28,0.34,1.38,20.0,Matches
56,Christian Benteke\Christian-Benteke,be BEL,FW,Crystal Palace,30-095,1990,11.9,0.17,0.08,0.08,2.02,1.18,0.84,0.34,0.34,0.42,0.00,0.00,0.00,3.28,9.92,6.81,59.3,Matches
57,Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,is ISL,MF,Burnley,30-132,1990,9.1,0.11,0.00,0.00,0.55,0.88,0.22,1.43,0.88,0.88,0.00,0.00,0.00,7.36,1.10,2.20,33.3,Matches
58,Sander Berge\Sander-Berge,no NOR,MF,Sheffield Utd,23-022,1998,11.3,0.35,0.00,0.00,1.06,0.35,0.18,1.59,0.27,1.42,0.00,0.00,0.00,8.14,1.24,1.24,50.0,Matches
59,Steven Bergwijn\Steven-Bergwijn,nl NED,FWMF,Tottenham,23-151,1997,11.3,0.18,0.00,0.00,1.68,1.42,0.00,0.80,0.80,0.71,0.09,0.00,0.00,5.84,0.18,1.15,13.3,Matches
60,Bernard\Bernard,br BRA,FWMF,Everton,28-181,1992,4.2,0.48,0.00,0.00,1.19,1.43,0.00,1.43,1.43,0.95,0.00,0.00,0.00,12.4,0.00,0.00,,Matches
61,Bernardo\Bernardo,br BRA,DFMF,Brighton,25-298,1995,2.3,0.00,0.00,0.00,0.43,0.43,0.00,1.74,0.00,2.17,0.00,0.00,0.00,5.22,2.17,2.61,45.5,Matches
62,Ryan Bertrand\Ryan-Bertrand,eng ENG,DF,Southampton,31-215,1989,24.9,0.20,0.00,0.00,1.12,1.24,0.12,1.89,1.00,1.53,0.00,0.04,0.00,7.67,1.08,1.93,36.0,Matches
63,Yves Bissouma\Yves-Bissouma,ml MLI,MF,Brighton,24-190,1996,23.6,0.25,0.04,0.00,1.78,0.93,0.00,0.25,1.31,2.03,0.00,0.00,0.00,11.6,1.23,0.85,59.2,Matches
64,Jayden Bogle\Jayden-Bogle,eng ENG,DF,Sheffield Utd,20-224,2000,9.0,0.22,0.00,0.00,1.33,0.78,0.11,1.00,1.56,1.11,0.00,0.00,0.00,7.33,1.56,2.56,37.8,Matches
65,Willy Boly\Willy-Boly,ci CIV,DF,Wolves,30-033,1991,16.0,0.06,0.00,0.00,0.56,0.44,0.00,0.00,0.81,1.25,0.00,0.06,0.00,9.00,3.06,0.88,77.8,Matches
66,Jarrod Bowen\Jarrod-Bowen,eng ENG,FWMF,West Ham,24-078,1996,20.4,0.00,0.00,0.00,0.54,1.57,0.44,2.01,0.74,0.49,0.00,0.00,0.00,6.62,0.83,1.72,32.7,Matches
67,Robbie Brady\Robbie-Brady,ie IRL,MF,Burnley,29-053,1992,11.4,0.26,0.00,0.00,1.84,0.79,0.18,2.19,0.79,0.96,0.00,0.00,0.00,9.47,1.67,1.67,50.0,Matches
68,Rhian Brewster\Rhian-Brewster,eng ENG,FW,Sheffield Utd,20-341,2000,9.6,0.00,0.00,0.00,1.46,1.04,0.42,0.63,0.42,0.31,0.00,0.00,0.00,4.79,0.83,3.85,17.8,Matches
69,Josh Brownhill\Josh-Brownhill,eng ENG,MF,Burnley,25-079,1995,21.8,0.05,0.00,0.00,1.19,1.01,0.00,0.41,1.70,0.92,0.00,0.00,0.00,13.2,2.61,1.24,67.9,Matches
70,Joe Bryan\Joe-Bryan,eng ENG,DFFW,Fulham,27-172,1993,5.2,0.38,0.00,0.00,1.15,0.96,0.00,2.88,1.73,1.54,0.19,0.19,0.00,9.23,1.15,0.58,66.7,Matches
71,Kean Bryan\Kean-Bryan,eng ENG,DF,Sheffield Utd,24-127,1996,7.3,0.00,0.00,0.00,0.96,0.00,0.00,1.37,2.19,1.23,0.00,0.00,0.14,9.86,2.33,1.37,63.0,Matches
72,Oliver Burke\Oliver-Burke,sco SCO,FW,Sheffield Utd,23-335,1997,10.7,0.19,0.00,0.00,2.06,0.56,0.28,1.31,0.19,0.75,0.00,0.00,0.00,3.83,1.96,3.93,33.3,Matches
73,Dan Burn\Dan-Burn,eng ENG,DF,Brighton,28-303,1992,16.4,0.30,0.00,0.00,1.52,0.24,0.24,1.65,1.16,0.67,0.00,0.06,0.06,9.63,4.15,1.89,68.7,Matches
74,David Button\David-Button,eng ENG,GK,West Brom,32-009,1989,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,,Matches
75,Oskar Buur\Oskar-Buur,dk DEN,DF,Wolves,22-342,1998,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.0,0.00,0.00,,Matches
76,Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,39-161,1981,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,,Matches
77,Gary Cahill\Gary-Cahill,eng ENG,DF,Crystal Palace,35-079,1985,13.0,0.15,0.00,0.00,0.62,0.15,0.23,0.00,0.62,0.38,0.00,0.00,0.00,7.31,3.85,2.00,65.8,Matches
78,Tom Cairney\Tom-Cairney,sco SCO,MF,Fulham,30-047,1991,8.4,0.24,0.00,0.00,0.48,2.14,0.12,2.14,0.12,0.48,0.12,0.00,0.00,8.45,0.24,0.60,28.6,Matches
79,Dominic Calvert-Lewin\Dominic-Calvert-Lewin,eng ENG,FW,Everton,23-357,1997,21.9,0.14,0.00,0.00,1.28,1.28,0.64,0.55,0.18,0.41,0.09,0.00,0.00,3.84,4.38,4.79,47.8,Matches
80,João Cancelo\Joao-Cancelo,pt POR,DF,Manchester City,26-285,1994,20.6,0.19,0.00,0.00,1.36,0.53,0.10,2.48,1.80,1.70,0.00,0.00,0.00,10.2,1.36,1.02,57.1,Matches
81,Ian Carlo Poveda\Ian-Carlo-Poveda,eng ENG,MFDF,Leeds United,21-027,2000,2.8,0.00,0.00,0.00,1.07,1.79,0.71,2.86,0.00,1.79,0.00,0.00,0.00,6.79,0.00,1.07,0.0,Matches
82,Andy Carroll\Andy-Carroll,eng ENG,FW,Newcastle Utd,32-061,1989,4.2,0.24,0.00,0.00,2.62,2.38,0.95,0.48,0.24,0.00,0.00,0.00,0.00,8.10,10.7,7.86,57.7,Matches
83,Matty Cash\Matty-Cash,eng ENG,DF,Aston Villa,23-213,1997,20.2,0.25,0.00,0.00,1.19,0.79,0.05,2.43,1.68,1.49,0.00,0.05,0.00,8.81,1.49,1.29,53.6,Matches
84,Kiko Casilla\Kiko-Casilla,es ESP,GK,Leeds United,34-157,1986,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,0.00,0.00,,Matches
85,Timothy Castagne\Timothy-Castagne,be BEL,DF,Leicester City,25-093,1995,16.1,0.06,0.00,0.00,0.68,0.50,0.06,1.61,0.87,1.68,0.00,0.00,0.00,8.88,1.80,1.99,47.5,Matches
86,Jonny Castro\Jonny-Castro,es ESP,DF,Wolves,27-005,1994,4.5,0.00,0.00,0.00,1.33,2.00,0.00,0.67,0.89,1.11,0.00,0.00,0.00,6.44,1.56,0.89,63.6,Matches
87,Ivan Cavaleiro\Ivan-Cavaleiro,pt POR,FWMF,Fulham,27-141,1993,19.2,0.10,0.00,0.00,1.30,1.09,0.47,2.29,0.57,0.73,0.00,0.00,0.00,5.99,1.51,2.86,34.5,Matches
88,Edinson Cavani\Edinson-Cavani,uy URU,FW,Manchester Utd,34-022,1987,10.3,0.10,0.00,0.00,1.26,1.17,0.39,0.49,0.68,0.49,0.00,0.00,0.00,5.24,0.39,1.36,22.2,Matches
89,Dani Ceballos\Dani-Ceballos,es ESP,MF,Arsenal,24-213,1996,12.5,0.24,0.00,0.00,1.36,1.36,0.00,0.56,1.68,2.00,0.00,0.00,0.00,11.5,0.48,0.72,40.0,Matches
90,Calum Chambers\Calum-Chambers,eng ENG,DF,Arsenal,26-047,1995,1.0,0.00,0.00,0.00,1.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,20.0,5.00,3.00,62.5,Matches
91,Ben Chilwell\Ben-Chilwell,eng ENG,DF,Chelsea,24-077,1996,18.5,0.16,0.00,0.00,0.86,1.62,0.16,4.00,0.86,1.30,0.00,0.00,0.00,8.32,1.95,1.08,64.3,Matches
92,Hamza Choudhury\Hamza-Choudhury,eng ENG,MF,Leicester City,23-158,1997,3.4,0.29,0.00,0.00,1.76,0.59,0.00,0.00,0.88,2.06,0.00,0.00,0.00,15.6,0.59,0.88,40.0,Matches
93,Andreas Christensen\Andreas-Christensen,dk DEN,DF,Chelsea,24-332,1996,9.1,0.11,0.11,0.00,0.33,0.22,0.00,0.00,1.43,0.77,0.00,0.00,0.00,9.12,2.86,0.99,74.3,Matches
94,Ciaran Clark\Ciaran-Clark,ie IRL,DF,Newcastle Utd,31-163,1989,15.4,0.19,0.00,0.00,0.71,0.65,0.06,0.00,1.04,0.71,0.00,0.00,0.00,8.25,3.90,1.69,69.8,Matches
95,Nathaniel Clyne\Nathaniel-Clyne,eng ENG,DF,Crystal Palace,29-337,1991,12.7,0.16,0.00,0.00,0.31,0.16,0.00,1.02,1.02,0.63,0.00,0.00,0.00,7.87,0.55,1.18,31.8,Matches
96,Conor Coady\Conor-Coady,eng ENG,DF,Wolves,28-011,1993,26.7,0.15,0.00,0.00,0.60,0.26,0.00,0.04,0.71,0.52,0.00,0.04,0.00,7.15,1.12,0.67,62.5,Matches
97,Séamus Coleman\Seamus-Coleman,ie IRL,DF,Everton,32-148,1988,9.8,0.00,0.00,0.00,0.82,0.82,0.00,1.33,0.61,1.53,0.00,0.00,0.00,8.47,0.82,0.71,53.3,Matches
98,Aaron Connolly\Aaron-Connolly,ie IRL,FW,Brighton,21-039,2000,8.0,0.00,0.00,0.00,0.63,1.63,1.00,0.25,0.00,0.63,0.13,0.00,0.00,3.13,1.38,3.63,27.5,Matches
99,Liam Cooper\Liam-Cooper,sco SCO,DF,Leeds United,29-190,1991,19.8,0.15,0.00,0.00,0.71,1.21,0.05,0.00,1.82,2.22,0.00,0.00,0.00,13.0,4.24,2.22,65.6,Matches
100,Jack Cork\Jack-Cork,eng ENG,MF,Burnley,31-256,1989,8.2,0.12,0.00,0.00,1.46,0.98,0.00,0.37,0.61,1.10,0.00,0.00,0.00,8.41,2.32,1.22,65.5,Matches
101,Hélder Costa\Helder-Costa,pt POR,MF,Leeds United,27-055,1994,9.5,0.00,0.00,0.00,1.79,1.68,0.21,1.47,0.53,1.26,0.00,0.00,0.11,5.58,0.21,1.68,11.1,Matches
102,Vladimír Coufal\Vladimir-Coufal,cz CZE,DF,West Ham,28-198,1992,21.9,0.09,0.00,0.00,1.10,0.96,0.00,2.79,0.96,1.64,0.00,0.00,0.00,9.36,1.28,1.00,56.0,Matches
103,Aaron Cresswell\Aaron-Cresswell,eng ENG,DF,West Ham,31-083,1989,26.0,0.04,0.00,0.00,0.23,0.54,0.00,2.54,0.92,0.46,0.00,0.00,0.00,9.31,1.04,0.88,54.0,Matches
104,Patrick Cutrone\Patrick-Cutrone,it ITA,FWMF,Wolves,23-064,1998,0.3,0.00,0.00,0.00,0.00,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.67,3.33,6.67,33.3,Matches
105,Stuart Dallas\Stuart-Dallas,nir NIR,DFMF,Leeds United,29-323,1991,25.9,0.19,0.00,0.00,1.24,1.00,0.00,1.58,1.51,1.62,0.00,0.00,0.00,9.73,0.97,1.20,44.6,Matches
106,Scott Dann\Scott-Dann,eng ENG,DF,Crystal Palace,34-022,1987,12.0,0.08,0.00,0.00,0.33,0.42,0.00,0.00,0.50,0.58,0.00,0.00,0.00,10.8,3.50,2.58,57.5,Matches
107,Karl Darlow\Karl-Darlow,eng ENG,GK,Newcastle Utd,30-151,1990,25.0,0.12,0.00,0.00,0.00,0.12,0.00,0.00,0.04,0.00,0.00,0.00,0.00,4.12,0.00,0.00,,Matches
108,Ben Davies\Ben-Davies,wal WAL,DF,Tottenham,27-318,1993,14.6,0.07,0.00,0.00,1.30,0.89,0.07,1.44,0.75,0.89,0.07,0.00,0.00,6.64,2.26,1.37,62.3,Matches
109,Tom Davies\Tom-Davies,eng ENG,MFDF,Everton,22-251,1998,9.7,0.10,0.00,0.00,1.75,1.55,0.00,0.31,2.16,1.96,0.00,0.10,0.00,8.56,0.62,1.03,37.5,Matches
110,Keinan Davis\Keinan-Davis,eng ENG,FW,Aston Villa,23-023,1998,0.8,0.00,0.00,0.00,0.00,0.00,0.00,2.50,0.00,1.25,0.00,0.00,0.00,5.00,6.25,6.25,50.0,Matches
111,Leif Davis\Leif-Davis,eng ENG,DF,Leeds United,21-055,2000,0.4,0.00,0.00,0.00,2.50,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,7.50,0.00,2.50,0.0,Matches
112,Craig Dawson\Craig-Dawson,eng ENG,DF,West Ham,30-306,1990,11.0,0.00,0.00,0.00,0.73,0.73,0.09,0.00,1.73,0.64,0.00,0.00,0.00,7.09,2.73,1.00,73.2,Matches
113,Kevin De Bruyne\Kevin-De-Bruyne,be BEL,MF,Manchester City,29-253,1991,19.4,0.05,0.00,0.00,1.13,1.39,0.05,2.99,0.62,1.39,0.10,0.00,0.00,6.86,0.36,0.67,35.0,Matches
114,Liam Delap\Liam-Delap,eng ENG,FW,Manchester City,18-028,2003,0.4,0.00,0.00,0.00,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.50,2.50,50.0,Matches
115,Fabian Delph\Fabian-Delph,eng ENG,MFDF,Everton,31-107,1989,2.4,0.00,0.00,0.00,0.83,2.08,0.00,1.25,1.67,0.42,0.00,0.00,0.00,9.58,0.00,0.00,,Matches
116,Leander Dendoncker\Leander-Dendoncker,be BEL,MFDF,Wolves,25-327,1995,20.7,0.14,0.00,0.00,1.21,0.39,0.14,0.34,0.87,1.06,0.00,0.00,0.05,8.36,3.04,1.88,61.8,Matches
117,Mbaye Diagne\Mbaye-Diagne,sn SEN,FW,West Brom,29-131,1991,7.1,0.14,0.00,0.00,1.13,1.55,1.69,0.28,0.00,0.42,0.00,0.00,0.00,3.10,4.08,9.01,31.2,Matches
118,Ibrahima Diallo\Ibrahima-Diallo,fr FRA,MF,Southampton,22-000,1999,5.9,0.34,0.00,0.00,1.69,1.36,0.00,0.85,0.85,2.37,0.00,0.17,0.00,13.1,0.85,1.19,41.7,Matches
119,Grady Diangana\Grady-Diangana,eng ENG,MFFW,West Brom,22-323,1998,12.1,0.00,0.00,0.00,0.91,2.48,0.33,1.07,1.07,1.32,0.00,0.00,0.00,5.70,1.24,2.81,30.6,Matches
120,Raphael Dias Belloli\Raphael-Dias-Belloli,br BRA,MF,Leeds United,24-084,1996,18.0,0.17,0.00,0.00,0.56,0.94,0.50,3.17,1.11,0.72,0.00,0.00,0.00,6.28,0.44,1.50,22.9,Matches
121,Rúben Dias\Ruben-Dias,pt POR,DF,Manchester City,23-298,1997,24.8,0.12,0.00,0.00,0.69,0.60,0.04,0.08,0.65,0.73,0.00,0.04,0.04,9.56,1.94,0.93,67.6,Matches
